text,label,rating,cleaned_text,vader_sentiment,vader_score,textblob_sentiment,textblob_polarity,lr_sentiment,true_sentiment
"Amazing quality and very affordable, highly recommend.",Positive,5,amazing quality and very affordable highly recommend,Positive,0.7818,Positive,0.32,Positive,Positive
Looks great and works even better.,Positive,5,looks great and works even better,Positive,0.7906,Positive,0.65,Positive,Positive
"Average performance, no major complaints.",Neutral,3,average performance no major complaints,Negative,-0.5994,Neutral,-0.090625,Neutral,Neutral
Not the best but not the worst.,Neutral,3,not the best but not the worst,Positive,0.5035,Neutral,0.0,Neutral,Neutral
"Excellent product, very sturdy and well designed.",Positive,5,excellent product very sturdy and well designed,Positive,0.7239,Positive,0.6,Positive,Positive
"Five stars, excellent quality and quick delivery.",Positive,5,five stars excellent quality and quick delivery,Positive,0.5719,Positive,0.6666666666666666,Positive,Positive
Terrible customer service and even worse product.,Negative,1,terrible customer service and even worse product,Negative,-0.7351,Negative,-0.7,Negative,Negative
"Excellent product, very sturdy and well designed.",Positive,5,excellent product very sturdy and well designed,Positive,0.7239,Positive,0.6,Positive,Positive
"Does not fit as described, very misleading.",Negative,1,does not fit as described very misleading,Negative,-0.6253,Neutral,0.0,Negative,Negative
"This is exactly what I needed, works great.",Positive,5,this is exactly what i needed works great,Positive,0.6249,Positive,0.525,Positive,Positive
An average product that meets basic needs.,Neutral,3,an average product that meets basic needs,Neutral,0.0,Neutral,-0.075,Neutral,Neutral
I use it daily and it has held up perfectly.,Positive,5,i use it daily and it has held up perfectly,Positive,0.6369,Positive,0.5,Positive,Positive
The best part is how easy it is to set up.,Positive,5,the best part is how easy it is to set up,Positive,0.7964,Positive,0.7166666666666667,Positive,Positive
Fantastic build quality and very easy to use.,Positive,5,fantastic build quality and very easy to use,Positive,0.7778,Positive,0.4816666666666667,Positive,Positive
"Highly recommend, the product exceeded expectations.",Positive,5,highly recommend the product exceeded expectations,Positive,0.4201,Positive,0.16,Positive,Positive
Reasonable for a budget option.,Neutral,3,reasonable for a budget option,Neutral,0.0,Positive,0.2,Neutral,Neutral
"Average product, nothing special.",Neutral,3,average product nothing special,Negative,-0.3089,Positive,0.10357142857142858,Neutral,Neutral
Horrible experience. Avoid!,Negative,1,horrible experience avoid,Negative,-0.6908,Negative,-1.0,Negative,Negative
A wonderful product that I would recommend to anyone.,Positive,5,a wonderful product that i would recommend to anyone,Positive,0.7351,Positive,1.0,Positive,Positive
I use it daily and it has held up perfectly.,Positive,5,i use it daily and it has held up perfectly,Positive,0.6369,Positive,0.5,Positive,Positive
Defective item received. Sending back.,Negative,1,defective item received sending back,Negative,-0.4404,Neutral,0.0,Negative,Negative
"Works perfectly, highly recommend.",Positive,5,works perfectly highly recommend,Positive,0.7902,Positive,0.16,Positive,Positive
Works but takes some getting used to.,Neutral,3,works but takes some getting used to,Neutral,0.0,Neutral,0.0,Neutral,Neutral
Reasonable for a budget option.,Neutral,3,reasonable for a budget option,Neutral,0.0,Positive,0.2,Neutral,Neutral
Works but takes some getting used to.,Neutral,3,works but takes some getting used to,Neutral,0.0,Neutral,0.0,Neutral,Neutral
Best investment I have made in a long time.,Positive,5,best investment i have made in a long time,Positive,0.6369,Positive,0.475,Positive,Positive
"Five stars, excellent quality and quick delivery.",Positive,5,five stars excellent quality and quick delivery,Positive,0.5719,Positive,0.6666666666666666,Positive,Positive
"Cheap materials, fell apart quickly.",Negative,1,cheap materials fell apart quickly,Neutral,0.0,Positive,0.3666666666666667,Negative,Negative
Exceeded my expectations. Very happy!,Positive,5,exceeded my expectations very happy,Positive,0.6115,Positive,1.0,Positive,Positive
The packaging was great and the product works flawlessly.,Positive,5,the packaging was great and the product works flawlessly,Positive,0.7096,Positive,0.9,Positive,Positive
Awful experience from start to finish.,Negative,1,awful experience from start to finish,Negative,-0.4588,Negative,-1.0,Negative,Negative
"This is a great buy, quality is superb.",Positive,5,this is a great buy quality is superb,Positive,0.8481,Positive,0.9,Positive,Positive
"The product itself is fine, shipping was slow.",Neutral,3,the product itself is fine shipping was slow,Positive,0.2023,Neutral,0.05833333333333332,Neutral,Neutral
"I love this product, it has made my life so much easier.",Positive,5,i love this product it has made my life so much easier,Positive,0.8062,Positive,0.35,Positive,Positive
"Five stars, excellent quality and quick delivery.",Positive,5,five stars excellent quality and quick delivery,Positive,0.5719,Positive,0.6666666666666666,Positive,Positive
"Waste of packaging materials, the product is worthless.",Negative,1,waste of packaging materials the product is worthless,Negative,-0.6908,Negative,-0.5,Negative,Negative
"Excellent product, very sturdy and well designed.",Positive,5,excellent product very sturdy and well designed,Positive,0.7239,Positive,0.6,Positive,Positive
Exactly as advertised and works perfectly.,Positive,5,exactly as advertised and works perfectly,Positive,0.6369,Positive,0.625,Positive,Positive
"Highly recommended, the customer service was also excellent.",Positive,5,highly recommended the customer service was also excellent,Positive,0.6997,Positive,0.58,Positive,Positive
I use it daily and it has held up perfectly.,Positive,5,i use it daily and it has held up perfectly,Positive,0.6369,Positive,0.5,Positive,Positive
Completely dissatisfied with this purchase.,Negative,1,completely dissatisfied with this purchase,Negative,-0.4391,Neutral,0.1,Negative,Negative
Looks great and works even better.,Positive,5,looks great and works even better,Positive,0.7906,Positive,0.65,Positive,Positive
"Incredible value for money, I am very impressed.",Positive,5,incredible value for money i am very impressed,Positive,0.6997,Positive,0.95,Positive,Positive
Looks great and works even better.,Positive,5,looks great and works even better,Positive,0.7906,Positive,0.65,Positive,Positive
"The product broke under normal use, very poor.",Negative,1,the product broke under normal use very poor,Negative,-0.7346,Negative,-0.185,Negative,Negative
The size is accurate and the quality is passable.,Neutral,3,the size is accurate and the quality is passable,Neutral,0.0,Positive,0.4000000000000001,Neutral,Neutral
Really impressed with the durability and finish.,Positive,5,really impressed with the durability and finish,Positive,0.5256,Positive,1.0,Positive,Positive
Defective item received. Sending back.,Negative,1,defective item received sending back,Negative,-0.4404,Neutral,0.0,Negative,Negative
Not exactly what I expected but acceptable.,Neutral,3,not exactly what i expected but acceptable,Positive,0.4497,Negative,-0.1125,Neutral,Neutral
Above and beyond what I expected for this price.,Positive,5,above and beyond what i expected for this price,Neutral,0.0,Neutral,-0.05,Positive,Positive
It arrived intact and works as intended.,Neutral,3,it arrived intact and works as intended,Positive,0.2023,Neutral,0.0,Neutral,Neutral
The materials are so cheap it is laughable.,Negative,1,the materials are so cheap it is laughable,Positive,0.0516,Neutral,-0.04999999999999999,Negative,Negative
Exceeded my expectations in every way possible.,Positive,5,exceeded my expectations in every way possible,Neutral,0.0,Neutral,0.0,Positive,Positive
It arrived intact and works as intended.,Neutral,3,it arrived intact and works as intended,Positive,0.2023,Neutral,0.0,Neutral,Neutral
Very poor quality and bad customer service.,Negative,1,very poor quality and bad customer service,Negative,-0.7841,Negative,-0.6099999999999999,Negative,Negative
"It stopped working after two days, unacceptable.",Negative,1,it stopped working after two days unacceptable,Negative,-0.5994,Neutral,0.0,Negative,Negative
"I love this product, it has made my life so much easier.",Positive,5,i love this product it has made my life so much easier,Positive,0.8062,Positive,0.35,Positive,Positive
Neither impressed nor disappointed.,Neutral,3,neither impressed nor disappointed,Negative,-0.5724,Positive,0.125,Neutral,Neutral
"It stopped working after two days, unacceptable.",Negative,1,it stopped working after two days unacceptable,Negative,-0.5994,Neutral,0.0,Negative,Negative
"Perfect, arrived early and exactly as described.",Positive,5,perfect arrived early and exactly as described,Positive,0.5719,Positive,0.45,Positive,Positive
Great customer support and fantastic product.,Positive,5,great customer support and fantastic product,Positive,0.886,Positive,0.6000000000000001,Positive,Positive
Nothing special but it works.,Neutral,3,nothing special but it works,Negative,-0.1603,Positive,0.35714285714285715,Neutral,Neutral
It arrived intact and works as intended.,Neutral,3,it arrived intact and works as intended,Positive,0.2023,Neutral,0.0,Neutral,Neutral
Exactly as advertised and works perfectly.,Positive,5,exactly as advertised and works perfectly,Positive,0.6369,Positive,0.625,Positive,Positive
The material is okay but the build could be sturdier.,Neutral,3,the material is okay but the build could be sturdier,Positive,0.1154,Positive,0.5,Neutral,Neutral
Great customer support and fantastic product.,Positive,5,great customer support and fantastic product,Positive,0.886,Positive,0.6000000000000001,Positive,Positive
An average product that meets basic needs.,Neutral,3,an average product that meets basic needs,Neutral,0.0,Neutral,-0.075,Neutral,Neutral
The product is defective and there is no support.,Negative,1,the product is defective and there is no support,Negative,-0.34,Neutral,0.0,Negative,Negative
"Cheap materials, fell apart quickly.",Negative,1,cheap materials fell apart quickly,Neutral,0.0,Positive,0.3666666666666667,Negative,Negative
Reasonable for a budget option.,Neutral,3,reasonable for a budget option,Neutral,0.0,Positive,0.2,Neutral,Neutral
"Perfect condition, works exactly as shown in the description.",Positive,5,perfect condition works exactly as shown in the description,Positive,0.5719,Positive,0.625,Positive,Positive
